ID	colors	Folio	Scholia	Number or attribution	Biblical verse	Number of scholia per biblical verse	Identification	Notes
251	Orange	18r	186	πϛ´	Rom 3:22	1	Unattributed	
252	Green	18r	186Ph	Φωτ(ίου) 	Rom 3:21 (II)	5	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 487 (Rom 3:21) 	
253		18r	186ex 	Γενναδίου and sign 	Rom 3:22 (II)	2	Genn., fr. Rom. (CPG 5973): Staab, 1933, 362, 1–6	
254		18r	187	πζ´	Rom 3:22 (III)	3	Unattributed	
255	Orange	18r	188	μη´	Rom 3:23 (I)	1	Unattributed	(sic!) in the manuscript, instead of πη. 
256		18v	189	πθ´ 	Rom 3:23 (II)	2	Unattributed	
257		18v	189Pha 	Φωτ(ίου) 	Rom 3:23 (II)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 487, 24–30 	
258		18v	189Phb	–	Rom 3:23 (II)	4	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 487, 31–33	
259	Orange	18v	190	ϟ´	Rom 3:24	1	Unattributed	
260	Orange	18v	191	ϟα´ 	Rom 3:25 (I)	1	Unattributed	
261		18v	192	ϟβ´	Rom 3:25 (II)	2	Unattributed	
262		18v	193	ϟγ´	Rom 3:25 (III)	3	Unattributed	
263		18v	194	ϟδ´	Rom 3:25 (IV)	4	Unattributed	
264		18v	194Ph	Φωτ(ίου) 	Rom 3:25 (IV)	5	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 488, 1–17 	
265	Orange	19r	195	ϟε´ 	Rom 3:26 (I)	1	Unattributed	
266		19r	195ex 	Oἰκουμε(νίου) and sign 	Rom 3:26 (I)	2	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 423, 8–11	
267		19r	195Ph	Φωτ(ίου) 	Rom 3:26 (I)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933. 488, 18–30 	
268		19r	196	ϟϛ´	Rom 3:26 (II)	4	Unattributed	
269	Orange	19r	197	ϟζ´	Rom 3:27 (I)	1	Unattributed	
270		19r	198	ϟη´	Rom 3:27 (II)	2	Unattributed	
271	Orange	19r	199	ϟθ´	Rom 3:28	1	Unattributed	
272	Orange	19r	200	ρ´	Rom 3:29	1	Unattributed	
273	Orange	19r	201	α´ 	Rom 3:30	1	Unattributed	
274	Orange	19v	202	β´	Rom 3:31 (I)	1	Unattributed	
275		19v	203	γ´	Rom 3:31 (II)	2	Unattributed	
