ID	colors	Folio	Scholia	Number or attribution	Biblical verse	Number of scholia per biblical verse	Identification	Notes
949		63v	699	ϟθ´	Rom 12:13 (II)	2	Unattributed	
950	Orange	63v	700	ρ´	Rom 12:14	1	Unattributed	
951	Orange	63v	701	α´	Rom 12:15	1	Unattributed	
952	Orange	63v	702	β´	Rom 12:16 (I)	1	Unattributed	
953	Green	63v	702Pha	Φωτ(ίου) 	Rom 12:13 (I)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 532, 13–17	
954		64r	702Phb	Φωτ(ίου) 	Rom 12:16 (I)	1	Absent from Staab	
955		64r	703	γ´	Rom 12:16 (II)	2	Unattributed	
956	Orange	64r	704	δ´	Rom 12:17 (I)	1	Unattributed	
957		64r	705	ε´	Rom 12:17 (II)	2	Unattributed	
958	Orange	64r	706	ϛ´	Rom 12:18	1	Unattributed	
959	Orange	64r	707	ζ´	Rom 12:19 (I)	1	Unattributed	
960		64r	707ex	Ἰω(άννου)	Rom 12:19 (I)	2	Chrys., hom 1‒32 in Rom. (CPG 4427), fr. hom. 22: Field, 1854, 376, D 7–E 2, or Jo. D., Rom.‒Philm. (CPG 8079): Volk, 2013, 120, 2303–2307	
961		64r	708	η´ 	Rom 12:19 (II)	3	Unattributed	
962		64r	709	θ´	Rom 12:19 (III)	4	Unattributed	
963	Orange	64r	710	ι´	Rom 12:20 (I)	1	Unattributed	
964		64v	710Ph	Φωτ(ίου) 	Rom 12:20 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 532, 18–29	
965	Orange	64v	711	ια´ 	Rom 12:21 (I)	1	Unattributed	
966	Green	64v	711Ph	Φωτ(ίου) 	Rom 12:20 (I)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 533, 1–14	
967	Orange	64v	712	ιβ´	Rom 13:1 (I)	1	Unattributed	
968		64v	713	ιγ´	Rom 13:1 (II)	2	Unattributed	
969		65r	714	ιδ´	Rom 13:1 (III)	3	Unattributed	
970	Orange	65r	715	ιε´	Rom 13:2 (I)	1	Unattributed	
971		65r	715Ph	Φωτ(ίου) 	Rom 13:2 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 533, 15–30	
972		65r	716	ιϛ´	Rom 13:2 (II)	3	Unattributed	
973	Orange	65r	717	ιζ´	Rom 13:3 (I)	1	Unattributed	
974		65r	718	ιη´	Rom 13:3 (II)	2	Unattributed	
975		65r	719	ιθ´ 	Rom 13:3 (III)	3	Unattributed	
976		65r	720	κ´ 	Rom 13:3 (IV)	4	Unattributed	
977	Orange	65v	721	κα´ 	Rom 13:4 (I)	1	Unattributed	
978		65v	721Ph	Φωτ(ίου) 	Rom 13:4 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 533, 31–37	
979		65v	722	κβ´	Rom 13:4 (II)	3	Unattributed	
980		65v	723	κγ´	Rom 13:4 (III)	4	Unattributed	
981		65v	724	κδ´	Rom 13:4 (IV)	5	Unattributed	
982	Orange	65v	725	κε´ 	Rom 13:5 (I)	1	Unattributed	
983		65v	725Pha	Φωτ(ίου) 	Rom 13:5 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 534, 1–7	
984		65v	725Phb	Φωτ(ίου) 	Rom 13:5 (II)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 534, 8–10	
985	Orange	65v	726	κϛ´	Rom 13:6 (I)	1	Unattributed	
986		65v	727	κζ´ 	Rom 13:6 (II)	2	Unattributed	
987		65v	728	κη´ 	Rom 13:6 (III)	3	Unattributed	
988	Orange	65v	729	κθ´	Rom 13:7 (I)	1	Unattributed	
989		65v	730	λ´	Rom 13:7 (II)	2	Unattributed	
990		66r	731	λα´ 	Rom 13:7 (III)	3	Unattributed	
991	Orange	66r	732	λβ´	Rom 13:8 (I)	1	Unattributed	
992		66r	733	λγ´	Rom 13:8 (II)	2	Unattributed	
993		66r	733Ph	Φωτ(ίου) 	Rom 13:8 (II)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 534, 11–33	
994	Orange	66r	734	λδ´ 	Rom 13:9 (I)	1	Unattributed	
995		66r	735	λε´	Rom 13:9 (II)	2	Unattributed	
996	Orange	66v	736	λϛ´	Rom 13:10 (I)	1	Unattributed	
997	Orange	66v	736ex	Σευηρι(ανοῦ) and sign 	Rom 13:11 (I)	1	Sever., Rom.‒Heb. (CPG 4219): Staab, 1933, 224, 22–28, or Diod., Rom. (CPG 3819): Staab, 1933, 108, 12–13, and 19–22	
998		66v	736Ph	Φωτ(ίου) 	Rom 13:11 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 535, 1–27	
999		66v	737	λζ´	Rom 13:11 (I)	3	Unattributed	
1000		66v	738	λη´	Rom 13:11 (II)	4	Unattributed	
1001		66v	739	λθ´	Rom 13:11 (III)	5	Unattributed	
1002		66v	740	μ´ 	Rom 13:11 (IV)	6	Unattributed	
1003		67r	741	μα´ 	Rom 13:11 (V)	7	Unattributed	
1004		67r	742	μβ´ 	Rom 13:11 (VI)	8	Unattributed	
1005	Orange	67r	743	μγ´ 	Rom 13:12 (I)	1	Unattributed	
1006		67r	744	μδ´ 	Rom 13:12 (II)	2	Unattributed	
1007	Orange	67r	745	με´ 	Rom 13:13 (I)	1	Unattributed	
1008		67r	745Ph	Φωτ(ίου) 	Rom 13:13 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 535, 28–33	
1009		67r	746	μϛ´	Rom 13:13 (II)	3	Unattributed	
1010		67r	747	μζ´	Rom 13:13 (III)	4	Unattributed	
1011		67r	748	μη´	Rom 13:13 (IV)	5	Unattributed	
1012	Orange	67r	749	μθ´  	Rom 13:14 (I)	1	Unattributed	
1013		67r	750	ν´ 	Rom 13:14 (II)	2	Unattributed	
1014	Orange	67v	751	να´ 	Rom 14:1 (I)	1	Unattributed	
1015		67v	751Ph	Φωτ(ίου) 	Rom 14:1 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 536, 1–22	
1016		67v	752	νβ´ 	Rom 14:1 (II)	3	Unattributed	
1017	Orange	67v	753	νγ´	Rom 14:2	1	Unattributed	
1018	Orange	68r	754	νδ´	Rom 14:3 (I)	1	Unattributed	
1019		68r	755	νε´	Rom 14:3 (II)	2	Unattributed	
1020		68r	756	vϛ´	Rom 14:3 (III)	3	Unattributed	
1021	Orange	68r	756ex	Σευήρου and sign 	Rom 14:4 (I)	1	Sever., Rom.‒Heb. (CPG 4219): Staab, 1933, 224, 29–31	
1022		68r	757	νζ´ 	Rom 14:4 (II)	2	Unattributed	
1023		68r	758	νη´ 	Rom 14:4 (III)	3	Unattributed	
1024		68r	759	νθ´ 	Rom 14:4 (IV)	4	Unattributed	
1025	Orange	68r	760	ξ´ 	Rom 14:5 (I)	1	Unattributed	
1026		68r	760Ph	Φωτ(ίου) 	Rom 14:5 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 536, 22–30	
1027		68r	761	ξα´ 	Rom 14:5 (II)	3	Unattributed	
1028	Orange	68v	762	ξβ´	Rom 14:6 (I)	1	Unattributed	
1029		68v	762exa	Oἰκου(μενίου)	Rom 14:6 (I)	2	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 431, 1–2	
1030		68v	762exb	Sign	Rom 14:6 (I)	3	Genn., fr. Rom. (CPG 5973): Staab, 1933, 410, 33–34, 411, 1–2	
1031		68v	763	ξγ´ 	Rom 14:6 (II)	4	Unattributed	
1032		68v–69r	763Ph	Φωτ(ίου) 	Rom 14:6 (I)	5	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 536, 31–33, 537, 1–38, 538, 1–5	
1033		69r	764	ξδ´	Rom 14:6 (II)	6	Unattributed	
1034	Orange	69r	765	ξε´	Rom 14:7	1	Unattributed	
1035	Orange	69r	766	ξϛ´	Rom 14:8 (I)	1	Unattributed	
1036		69r	767	ξζ´	Rom 14:8 (II)	2	Unattributed	
1037	Orange	69r	768	ξη´	Rom 14:9 (I)	1	Unattributed	
1038		69r	769	ξθ´	Rom 14:9 (II)	2	Unattributed	
1039	Orange	69r	770	ο´	Rom 14:10 (I)	1	Unattributed	The scholium is added in the margin by the same hand.
1040		69r	771	οα´ 	Rom 14:10 (II)	2	Unattributed	
1041		69r	772	οβ´	Rom 14:10 (III)	3	Unattributed	
1042	Orange	69v	773	ογ´	Rom 14:11 (I)	1	Unattributed	
1043		69v	774	οδ´	Rom 14:11 (II)	2	Unattributed	
1044		69v	775	οε´	Rom 14:11 (III)	3	Unattributed	
1045	Orange	69v	776ex	οϛ´ and Oἰκουμενίου	Rom 14:12	1	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 431, 3–6	
1046	Orange	69v	777	οζ´ 	Rom 14:13 (I)	1	Unattributed	
1047		69v	778	οη´	Rom 14:13 (II)	2	Unattributed	
1048	Orange	69v	779	οθ´	Rom 14:14 (I)	1	Unattributed	
1049		69v	779Ph	Φωτ(ίου) 	Rom 14:14 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 538, 6–11	
1050		70r	779exa	Θεοδω(ρήτου) and sign 	Rom 14:14 (I)	3	Thdt., Rom., IV, 20 (CPG 6209): Lorrain, 2015a, 312.29, 6–9	
1051		70r	779exb	Sign	Rom 14:14 (II)	4	Chrys., hom 1‒32 in Rom. (CPG 4427), fr, hom. 26: Field, 1854, 420, D 1–2	
1052		70r	779exc	Σευηρι(ανοῦ)	Rom 14:14 (II)	5	Sever., Rom.‒Heb. (CPG 4219): Staab, 1933, 225, 1	
1053		70r	780	π´	Rom 14:14 (II)	6	Unattributed	
1054	Orange	70r	781	πα´	Rom 14:15 (I)	1	Unattributed	
1055		70r	782	πβ´	Rom 14:15 (II)	2	Unattributed	
1056		70r	783	πγ´	Rom 14:15 (III)	3	Unattributed	
1057		70r	783ex	Oἰκου(μενίου)	Rom 14:15 (III)	4	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 431, 7–8	
1058	Orange	70r	784	πδ´	Rom 14:16 (I)	1	Unattributed	
1059		70r	785	πε´	Rom 14:16 (II)	2	Unattributed	
1060		70r	785ex	Oἰκου(μενίου)	Rom 14:16 (II)	3	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 431, 9	
1061		70v	785Ph	Φωτ(ίου) 	Rom 14:16 (I and II)	4	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 538, 12–28	
1062	Orange	70v	786	πϛ´	Rom 14:17 (I)	1	Unattributed	
1063		70v	786Ph	Φωτ(ίου) 	Rom 14:17 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 538, 29–34	
1064		70v	787	πζ´	Rom 14:17 (II)	3	Unattributed	
1065	Orange	70v	787Ph	Φωτ(ίου) 	Rom 14:18 (I)	1	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 539, 1–4	
1066		70v	788	πη´	Rom 14:18 (II)	2	Unattributed	
1067		70v	789	πθ´	Rom 14:18 (III)	3	Unattributed	
1068	Orange	70v	790	ϟ´	Rom 14:19 	1	Unattributed	
1069	Orange	70v	791	ϟα´	Rom 14:20 (I)	1	Unattributed	
1070		70v	792ex	ϟβ´ and Oἰκου(μενίου)	Rom 14:20 (II)	2	Unattributed	
1071		70v	793	ϟγ´	Rom 14:20 (III)	3	Unattributed	
1072		70v	794	ϟδ´	Rom 14:20 (IV)	4	Unattributed	
1073	Orange	71r	795	ϟε´	Rom 14:21 (I)	1	Unattributed	
1074		71r	796	ϟϛ´	Rom 14:21 (II)	2	Unattributed	
1075	Orange	71r	797	ϟζ´	Rom 14:22 (I)	1	Unattributed	
1076		71r	798	ϟη´	Rom 14:22 (II)	2	Unattributed	
1077		71r	798Ph	Φωτ(ίου) 	Rom 14:22 (II)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 539, 5–17	
1078	Orange	71r	799	ϟθ´	Rom 14:23 	1	Unattributed	
1079	Orange	71v	800	ρ´	Rom 16:25 (I)	1	Unattributed	
1080			801	α´	Rom 16:25 (II)	2	Unattributed	
1081		71v	801ex	Oἰκουμενίου	Rom 16:25 (III)	3	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 432, 1	
1082		71v	802	β´ 	Rom 16:25 (IV)	4	Unattributed	
1083		71v	803	γ´	Rom 16:25 (V)	5	Unattributed	
1084	Orange	71v	803ex	–	Rom 16:26 (I)	1	Unattributed	
1085	Green	71v	803Pha	Φωτ(ίου) 	Rom 16:25 (IV)	6	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 542, 8–15	
1086	Green	71v–72r	803Phb	– 	Rom 16:25 (IV)	7	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 542, 16–28, 543, 1–39	
1087		72r	804	δ´	Rom 16:26 (II)	2	Unattributed	
1088		72r	805	ε´	Rom 16:26 (III)	3	Unattributed	
1089		72r	806	ϛ´	Rom 16:26 (IV)	4	Unattributed	
1090	Orange	72r	807	ζ´	Rom 16:27 (I)	1	Unattributed	
1091		72r	808	η´	Rom 16:27 (II)	2	Unattributed	
1092		72r	808ex	Oἰκου(μενίου)	Rom 16:27 (II)	3	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 432, 2–3	
1093		72r	808Ph	Sign 	Rom 16:27 (II)	4	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 544, 1–5	
1094	Orange	72r	809	θ´ 	Rom 15:1 (I)	1	Unattributed	
1095		72v	810	ι´ 	Rom 15:1 (II)	2	Unattributed	
1096	Orange	72v	811	ια´ 	Rom 15:2	1	Unattributed	
1097	Orange	72v	812	ιβ´	Rom 15:3 (I)	1	Unattributed	
1098		72v	812ex	Ἰωάννου and sign 	Rom 15:3 (I)	2	Chrys., hom 1‒32 in Rom. (CPG 4427), fr. hom. 27: Field, 1854, 434, A 6–B 3, or Jo. D., Rom.‒Philm. (CPG 8079): Volk, 2013, 132, 2591, 133, 2592–2593	
1099		72v	813	ιγ´	Rom 15:3 (II)	3	Unattributed	
1100	Orange	72v	814	ιδ´	Rom 15:4 (I)	1	Unattributed	
1101		72v	815	ιε´	Rom 15:4 (II)	2	Unattributed	
1102	Orange	73r	816	ιϛ´	Rom 15:5 (I)	1	Unattributed	
1103		73r	817	ιζ´	Rom 15:5 (II)	2	Unattributed	
1104	Orange	73r	818	ιη´ 	Rom 15:6	1	Unattributed	
1105	Orange	73r	819	ιθ´	Rom 15:7 (I)	1	Unattributed	
1106		73r	820	κ´	Rom 15:7 (II)	2	Unattributed	
1107	Orange	73v	821	κα´ 	Rom 15:8 (I)	1	Unattributed	
1108		73v	821Ph	Φωτ(ίου) 	Rom 15:8 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 539, 18–32, 540, 1–6	
1109		73v	821ex	Sign	Rom 15:8 (II)	3	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 431, 12–14	
1110		73v	822	κβ´	Rom 15:8 (III)	4	Unattributed	
1111	Green	73v	822Ph	Φωτ(ίου) 	Rom 15:8 (II)	5	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 540, 7–15	
1112		73v	823	κγ´	Rom 15:8 (IV)	6	Unattributed	
1113	Orange	74r	824	κδ´ 	Rom 15:9 (I)	1	Unattributed	
1114		74r	824ex	Ἰω(άννου) εἰς τὸ ὅλον χω(ρίον) ἀπό τοῦ λέγω δὲ Χ(ριστὸ)ν Ἰ(ησοῦ)ν διάκονον and sign 	Rom 15:9 (I)	2	Chrys., hom 1‒32 in Rom. (CPG 4427), fr. hom. 28: Field, 1854, 440, A 2, 441, E 6, or Jo. D., Rom.‒Philm. (CPG 8079): Volk, 2013, 133, 2602–134, 2633	
1115		74r	825	κε´ 	Rom 15:9 (III)	3	Unattributed	
1116	Orange	74r	826	κϛ´	Rom 15:12	1	Unattributed	
1117	Orange	74v	827	κζ´	Rom 15:13 (I)	1	Unattributed	
1118		74v	828	κη´	Rom 15:13 (II)	2	Unattributed	
1119	Orange	74v	829	κθ´ 	Rom 15:14 (I)	1	Unattributed	
1120	Green	74v	829Ph	Φωτ(ίου) 	Rom 15:13 (I)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 540, 16–22)	
1121		74v	830	λ´	Rom 15:14 (II)	2	Unattributed	
1122		74v	831	λα´ 	Rom 15:14 (III)	3	Unattributed	
1123		74v	832	λβ´	Rom 15:14 (IV)	4	Unattributed	
1124	Orange	75r	833	λγ´	Rom 15:15 (I)	1	Unattributed	
1125		75r	833ex	Sign	Rom 15:15 (II)	2	Unattributed	
1126	Green	75r	833Pha	Φωτ(ίου) and sign 	Rom 15:15 (I)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 540, 23–34, 541, 1–15	
1127	Green	75r	833Phb	Eἰς τὸν αὐτὸν and sign 	Rom 15:15 (I)	4	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 541, 16–20	
1128		75r	834	λδ´	Rom 15:15 (III)	5	Unattributed	
1129	Orange	75r	835	λε´ 	Rom 15:16 (I)	1	Unattributed	
1130		75v	836	λϛ´	Rom 15:16 (II)	2	Unattributed	
1131		75r	837	λζ´ 	Rom 15:16 (III)	3	Unattributed	
1132	Orange	75r	838	λη´	Rom 15:17 (I)	1	Unattributed	
1133		75r	838Ph	Φωτ(ίου) 	Rom 15:17 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933,. 1933, 541, 21–34	
1134	Orange	75r	839	λθ´ 	Rom 15:18 (I)	1	Unattributed	
1135		75r	840	μ´ 	Rom 15:18 (II)	2	Unattributed	
1136	Orange	75r	841	μα´ 	Rom 15:19 (I)	1	Unattributed	
1137		75r	842	μβ´ 	Rom 15:19 (II)	2	Unattributed	
1138	Orange	76r	843	μγ´	Rom 15:20 (I)	1	Unattributed	
1139		76r	843ex	Σευηριανοῦ and sign 	Rom 15:20 (I)	2	Sever., Rom.‒Heb. (CPG 4219): Staab, 1933, 225, 2–4, or Diod., Rom. (CPG 3819): Staab, 1933, 111, 15–19	
1140		76r	844	μδ´ 	Rom 15:20 (II)	3	Unattributed	
1141	Orange	76r	845	με´ 	Rom 15:21	1	Unattributed	
1142	Orange	76r	846	μϛ´	Rom 15:22 (I)	1	Unattributed	
1143		76r	847	μζ´	Rom 15:22 (II)	2	Unattributed	
1144	Orange	76r	848	μη´ 	Rom 15:23 (I)	1	Unattributed	
1145		76r	849	μθ´  	Rom 15:23 (II)	2	Unattributed	
1146	Orange	76r	850	ν´ 	Rom 15:24 (I)	1	Unattributed	
1147		76v	851	να´ 	Rom 15:24 (II)	2	Unattributed	
1148		76v	852	νβ´	Rom 15:24 (III)	3	Unattributed	
1149	Orange	76v	853	νγ´	Rom 15:25 (I)	1	Unattributed	
1150		76v	854	νδ´ 	Rom 15:25 (II)	2	Unattributed	
1151	Orange	76v	855	νε´ 	Rom 15:26 (I)	1	Unattributed	
1152		76v	856	νϛ´	Rom 15:26 (II)	2	Unattributed	
1153		76v	857	νζ´ 	Rom 15:26 (III)	3	Unattributed	
1154	Orange	76v	858	νη´ 	Rom 15:27 (I)	1	Unattributed	
1155		76v	859	νθ´ 	Rom 15:27 (II)	2	Unattributed	
1156	Orange	76v	860	ξ´ 	Rom 15:28 (I)	1	Unattributed	
1157		76v	861	ξα´	Rom 15:28 (II)	2	Unattributed	
1158		77r	862	ξβ´ 	Rom 15:28 (III)	3	Unattributed	
1159	Orange	77r	863	ξγ´	Rom 15:29 (I)	1	Unattributed	
1160		77r	863ex	Oἰκουμενίου	Rom 15:29 (I)	2	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 431, 16–18	
1161	Orange	77r	864	ξδ´ 	Rom 15:30 (I)	1	Unattributed	
1162		77r	865	ξε´ 	Rom 15:30 (II)	2	Unattributed	
1163	Orange	77r	866	ξϛ´	Rom 15:31 (I)	1	Unattributed	
1164		77r	867	ξζ´ 	Rom 15:31 (II)	2	Unattributed	
1165		77r	868	ξη´ 	Rom 15:31 (III)	3	Unattributed	
1166	Orange	77r	869	ξθ´	Rom 15:32 (I)	1	Unattributed	
1167		77r	870	ο´ 	Rom 15:32 (II)	2	Unattributed	
1168		77r	871	οα´ 	Rom 15:32 (III)	3	Unattributed	
1169		77r	871Ph	Φωτ(ίου) and sign 	Rom 15:32 (III)	4	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 542, 1–3	
1170	Orange	77r	872	οβ´	Rom 15:33	1	Unattributed	
1171	Orange	77v	873	ογ´	Rom 16:1 	1	Unattributed	
1172	Orange	77v	874	οδ´	Rom 16:2 (I)	1	Unattributed	
1173		77v	875	οε´	Rom 16:2 (II)	2	Unattributed	
1174		77v	876	οϛ´	Rom 16:2 (III)	3	Unattributed	
1175	Orange	77v	877	οζ´	Rom 16:3 (I)	1	Unattributed	
1176		77v	878	οη´	Rom 16:3 (II)	2	Unattributed	
1177	Orange	77v	879	οθ´	Rom 16:4	1	Unattributed	
1178	Orange	77v	880	π´	Rom 16:5 (I)	1	Unattributed	
1179		77v	881	πα´ 	Rom 16:5 (II)	2	Unattributed	
1180	Orange	78r	882	πβ´	Rom 16:6 (I)	1	Unattributed	
1181		78r	883	πγ´	Rom 16:6 (II)	2	Unattributed	
1182	Orange	78r	884	πδ´	Rom 16:7 (I)	1	Unattributed	
1183		78r	885	πε´	Rom 16:7 (II)	2	Unattributed	
1184		78r	886	πϛ´	Rom 16:7 (III)	3	Unattributed	
1185	Orange	78r	887	πζ´	Rom 16:8	1	Unattributed	
1186	Orange	78r	888	πη´	Rom 16:9 (I)	1	Unattributed	
1187	Orange	78r	889	πθ´	Rom 16:10 (I)	1	Unattributed	
1188		78r	890	ϟ´	Rom 16:10 (II)	2	Unattributed	
1189	Orange	78r	891	ϟα´	Rom 16:11 (I)	1	Unattributed	
1190	Green	78r	891Ph	Φωτ(ίου) 	Rom 16:9 (II)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 542, 4–5	
1191	Orange	78r	892	ϟβ´ 	Rom 16:12 (I)	1	Unattributed	
1192		78v	893	ϟγ´	Rom 16:12 (II)	2	Unattributed	
1193	Orange	78v	894	ϟδ´	Rom 16:13	1	Unattributed	
1194	Orange	78v	895	ϟε´	Rom 16:14 	1	Unattributed	
1195	Orange	78v	895Ph	Φωτ(ίου) 	Rom 16:15 (I)	1	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 542, 6–7	
1196		78v	896	ϟϛ´	Rom 16:15 (II)	2	Unattributed	
1197	Orange	78v	897	ϟζ´	Rom 16:16 (I)	1	Unattributed	
1198		78v	898	ϟη´ 	Rom 16:16 (II)	2	Unattributed	
1199		78v	899	ϟθ´ 	Rom 16:16 (III)	3	Unattributed	
1200	Orange	78v	900	ρ´	Rom 16:17 (I)	1	Unattributed	
1201		78v	901	α´	Rom 16:17 (II)	2	Unattributed	
1202		78v	902	β´	Rom 16:17 (III)	3	Unattributed	
1203		78v	903	γ´	Rom 16:17 (IV)	4	Unattributed	
1204		78v	904	δ´	Rom 16:17 (V)	5	Unattributed	
1205	Orange	79r	905	ε´	Rom 16:18 (I)	1	Unattributed	
1206		79r	906	ϛ´	Rom 16:18 (II)	2	Unattributed	
1207	Orange	79r	907	ζ´	Rom 16:19 (I)	1	Unattributed	
1208		79r	908	η´	Rom 16:19 (II)	2	Unattributed	
1209		79r	909	θ´	Rom 16:19 (III)	3	Unattributed	
1210		79r	909ex	Σευηριανοῦ and sign 	Rom 16:19 (III)	4	Sever., Rom.‒Heb. (CPG 4219): Staab, 1933, 225, 21–23, or Diod., Rom. (CPG 3819): Staab, 1933, 111, 21–23	
1211	Orange	79r	910	ι´	Rom 16:20 (I)	1	Unattributed	
1212		79r	911	ια´ 	Rom 16:20 (II)	2	Unattributed	
1213		79r	912	ιβ´	Rom 16:20 (III)	3	Unattributed	
1214		79v	913	ιγ´	Rom 16:20 (IV)	4	Unattributed	
1215	Orange	79v	914	ιδ´ 	Rom 16:21 (I)	1	Unattributed	
1216		79v	915	ιε´	Rom 16:21 (II)	2	Unattributed	
1217	Orange	79v	916	ιϛ´	Rom 16:22 	1	Unattributed	
1218	Orange	79v	917	ιζ´	Rom 16:23 (I)	1	Unattributed	
1219		79v	918	ιη´	Rom 16:23 (II)	2	Unattributed	
1220	Orange	79v	919	ιθ´	Rom 16:24 (I)	1	Unattributed	
1221		79v	920	κ´ 	Rom 16:24 (II)	2	Unattributed	
